"filename", "language", "YAML", "Swift", "C++", "XML", "JSON", "Dart", "Gradle", "Java Properties", "Markdown", "HTML", "comment", "blank", "total"
"c:\flutter_projects\weather\lib\features\weather\utils\formatters.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\flutter_projects\weather\lib\features\weather\view\pages\error_page.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\flutter_projects\weather\lib\features\weather\view\pages\home_page.dart", "Dart", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 5, 72
"c:\flutter_projects\weather\lib\features\weather\view\pages\loading_page.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\flutter_projects\weather\lib\features\weather\view\widgets\current_weather.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 58
"c:\flutter_projects\weather\lib\features\weather\view\widgets\daily_forecast.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 50
"c:\flutter_projects\weather\lib\features\weather\view\widgets\daily_forecast_item.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\flutter_projects\weather\lib\features\weather\view\widgets\forecast_container.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\flutter_projects\weather\lib\features\weather\view\widgets\hourly_forecast.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\flutter_projects\weather\lib\features\weather\view\widgets\hourly_forecast_item.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\flutter_projects\weather\lib\features\weather\view\widgets\weather_details.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 3, 54
"c:\flutter_projects\weather\lib\features\weather\view\widgets\weather_details_item.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\flutter_projects\weather\lib\features\weather\view_model\location_view_model.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\flutter_projects\weather\lib\features\weather\view_model\weather_view_model.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\flutter_projects\weather\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 8, 54
"c:\flutter_projects\weather\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\flutter_projects\weather\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\flutter_projects\weather\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\flutter_projects\weather\linux\my_application.cc", "C++", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\flutter_projects\weather\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\flutter_projects\weather\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15
"c:\flutter_projects\weather\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\flutter_projects\weather\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\flutter_projects\weather\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\flutter_projects\weather\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\flutter_projects\weather\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\flutter_projects\weather\pubspec.yaml", "YAML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"c:\flutter_projects\weather\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\flutter_projects\weather\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 15, 28, 117
"c:\flutter_projects\weather\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\flutter_projects\weather\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\flutter_projects\weather\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\flutter_projects\weather\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\flutter_projects\weather\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\flutter_projects\weather\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\flutter_projects\weather\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\flutter_projects\weather\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\flutter_projects\weather\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\flutter_projects\weather\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\flutter_projects\weather\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 42, 54, 542, 526, 269, 809, 82, 8, 13, 74, 230, 409, 3058
